,x,Lineage
human3_lib2.final_cell_0380,gamma,Endocrine
human3_lib2.final_cell_0381,beta,Endocrine
human3_lib2.final_cell_0382,beta,Endocrine
human3_lib2.final_cell_0383,ductal,Exocrine
human3_lib2.final_cell_0384,acinar,Exocrine
human3_lib2.final_cell_0385,alpha,Endocrine
human3_lib2.final_cell_0386,delta,Endocrine
human3_lib2.final_cell_0387,delta,Endocrine
human3_lib2.final_cell_0388,beta,Endocrine
human3_lib2.final_cell_0389,alpha,Endocrine
human3_lib2.final_cell_0390,beta,Endocrine
human3_lib2.final_cell_0391,ductal,Exocrine
human3_lib2.final_cell_0392,alpha,Endocrine
human3_lib2.final_cell_0393,alpha,Endocrine
human3_lib2.final_cell_0394,ductal,Exocrine
human3_lib2.final_cell_0395,alpha,Endocrine
human3_lib2.final_cell_0396,acinar,Exocrine
human3_lib2.final_cell_0397,alpha,Endocrine
human3_lib2.final_cell_0398,ductal,Exocrine
human3_lib2.final_cell_0399,ductal,Exocrine
human3_lib2.final_cell_0400,alpha,Endocrine
human3_lib2.final_cell_0401,alpha,Endocrine
human3_lib2.final_cell_0402,ductal,Exocrine
human3_lib2.final_cell_0403,acinar,Exocrine
human3_lib2.final_cell_0404,alpha,Endocrine
human3_lib2.final_cell_0405,alpha,Endocrine
human3_lib2.final_cell_0406,ductal,Exocrine
human3_lib2.final_cell_0407,alpha,Endocrine
human3_lib2.final_cell_0408,alpha,Endocrine
human3_lib2.final_cell_0409,ductal,Exocrine
human3_lib2.final_cell_0410,alpha,Endocrine
human3_lib2.final_cell_0411,acinar,Exocrine
human3_lib2.final_cell_0412,beta,Endocrine
human3_lib2.final_cell_0413,beta,Endocrine
human3_lib2.final_cell_0414,ductal,Exocrine
human3_lib2.final_cell_0415,alpha,Endocrine
human3_lib2.final_cell_0416,activated_stellate,PSC
human3_lib2.final_cell_0417,ductal,Exocrine
human3_lib2.final_cell_0418,beta,Endocrine
human3_lib2.final_cell_0419,beta,Endocrine
human3_lib2.final_cell_0420,alpha,Endocrine
human3_lib2.final_cell_0421,acinar,Exocrine
human3_lib2.final_cell_0422,beta,Endocrine
human3_lib2.final_cell_0423,alpha,Endocrine
human3_lib2.final_cell_0424,alpha,Endocrine
human3_lib2.final_cell_0425,alpha,Endocrine
human3_lib2.final_cell_0426,acinar,Exocrine
human3_lib2.final_cell_0427,alpha,Endocrine
human3_lib2.final_cell_0428,beta,Endocrine
human3_lib2.final_cell_0429,endothelial,endothelial
human3_lib2.final_cell_0430,alpha,Endocrine
human3_lib2.final_cell_0431,alpha,Endocrine
human3_lib2.final_cell_0432,gamma,Endocrine
human3_lib2.final_cell_0433,alpha,Endocrine
human3_lib2.final_cell_0434,beta,Endocrine
human3_lib2.final_cell_0435,beta,Endocrine
human3_lib2.final_cell_0436,ductal,Exocrine
human3_lib2.final_cell_0437,delta,Endocrine
human3_lib2.final_cell_0438,beta,Endocrine
human3_lib2.final_cell_0439,beta,Endocrine
human3_lib2.final_cell_0440,alpha,Endocrine
human3_lib2.final_cell_0441,activated_stellate,PSC
human3_lib2.final_cell_0442,alpha,Endocrine
human3_lib2.final_cell_0443,beta,Endocrine
human3_lib2.final_cell_0444,alpha,Endocrine
human3_lib2.final_cell_0445,acinar,Exocrine
human3_lib2.final_cell_0446,alpha,Endocrine
human3_lib2.final_cell_0447,alpha,Endocrine
human3_lib2.final_cell_0448,alpha,Endocrine
human3_lib2.final_cell_0449,alpha,Endocrine
human3_lib2.final_cell_0450,beta,Endocrine
human3_lib2.final_cell_0451,alpha,Endocrine
human3_lib2.final_cell_0452,alpha,Endocrine
human3_lib2.final_cell_0453,acinar,Exocrine
human3_lib2.final_cell_0454,beta,Endocrine
human3_lib2.final_cell_0455,alpha,Endocrine
human3_lib2.final_cell_0456,alpha,Endocrine
human3_lib2.final_cell_0457,alpha,Endocrine
human3_lib2.final_cell_0458,ductal,Exocrine
human3_lib2.final_cell_0459,ductal,Exocrine
human3_lib2.final_cell_0460,ductal,Exocrine
human3_lib2.final_cell_0461,activated_stellate,PSC
human3_lib2.final_cell_0462,acinar,Exocrine
human3_lib2.final_cell_0463,alpha,Endocrine
human3_lib2.final_cell_0464,beta,Endocrine
human3_lib2.final_cell_0465,beta,Endocrine
human3_lib2.final_cell_0466,acinar,Exocrine
human3_lib2.final_cell_0467,alpha,Endocrine
human3_lib2.final_cell_0468,alpha,Endocrine
human3_lib2.final_cell_0469,acinar,Exocrine
human3_lib2.final_cell_0470,alpha,Endocrine
human3_lib2.final_cell_0471,alpha,Endocrine
human3_lib2.final_cell_0472,acinar,Exocrine
human3_lib2.final_cell_0473,acinar,Exocrine
human3_lib2.final_cell_0474,acinar,Exocrine
human3_lib2.final_cell_0475,delta,Endocrine
human3_lib2.final_cell_0476,ductal,Exocrine
human3_lib2.final_cell_0477,acinar,Exocrine
human3_lib2.final_cell_0478,alpha,Endocrine
human3_lib2.final_cell_0479,alpha,Endocrine
human3_lib2.final_cell_0480,alpha,Endocrine
human3_lib2.final_cell_0481,acinar,Exocrine
human3_lib2.final_cell_0482,alpha,Endocrine
human3_lib2.final_cell_0483,alpha,Endocrine
human3_lib2.final_cell_0484,alpha,Endocrine
human3_lib2.final_cell_0485,alpha,Endocrine
human3_lib2.final_cell_0486,acinar,Exocrine
human3_lib2.final_cell_0487,alpha,Endocrine
human3_lib2.final_cell_0488,alpha,Endocrine
human3_lib2.final_cell_0489,alpha,Endocrine
human3_lib2.final_cell_0490,beta,Endocrine
human3_lib2.final_cell_0491,acinar,Exocrine
human3_lib2.final_cell_0492,activated_stellate,PSC
human3_lib2.final_cell_0493,alpha,Endocrine
human3_lib2.final_cell_0494,quiescent_stellate,PSC
human3_lib2.final_cell_0495,alpha,Endocrine
human3_lib2.final_cell_0496,alpha,Endocrine
human3_lib2.final_cell_0497,acinar,Exocrine
human3_lib2.final_cell_0498,alpha,Endocrine
human3_lib2.final_cell_0499,beta,Endocrine
human3_lib2.final_cell_0500,alpha,Endocrine
human3_lib2.final_cell_0501,alpha,Endocrine
human3_lib2.final_cell_0502,ductal,Exocrine
human3_lib2.final_cell_0503,alpha,Endocrine
human3_lib2.final_cell_0504,ductal,Exocrine
human3_lib2.final_cell_0505,alpha,Endocrine
human3_lib2.final_cell_0506,acinar,Exocrine
human3_lib2.final_cell_0507,alpha,Endocrine
human3_lib2.final_cell_0508,beta,Endocrine
human3_lib2.final_cell_0509,alpha,Endocrine
human3_lib2.final_cell_0510,alpha,Endocrine
human3_lib2.final_cell_0511,beta,Endocrine
human3_lib2.final_cell_0512,beta,Endocrine
human3_lib2.final_cell_0513,alpha,Endocrine
human3_lib2.final_cell_0514,alpha,Endocrine
human3_lib2.final_cell_0515,alpha,Endocrine
human3_lib2.final_cell_0516,ductal,Exocrine
human3_lib2.final_cell_0517,alpha,Endocrine
human3_lib2.final_cell_0518,alpha,Endocrine
human3_lib2.final_cell_0519,alpha,Endocrine
human3_lib2.final_cell_0520,alpha,Endocrine
human3_lib2.final_cell_0521,alpha,Endocrine
human3_lib2.final_cell_0522,alpha,Endocrine
human3_lib2.final_cell_0523,beta,Endocrine
human3_lib2.final_cell_0524,beta,Endocrine
human3_lib2.final_cell_0525,alpha,Endocrine
human3_lib2.final_cell_0526,ductal,Exocrine
human3_lib2.final_cell_0527,ductal,Exocrine
human3_lib2.final_cell_0528,ductal,Exocrine
human3_lib2.final_cell_0529,beta,Endocrine
human3_lib2.final_cell_0530,endothelial,endothelial
human3_lib2.final_cell_0531,alpha,Endocrine
human3_lib2.final_cell_0532,beta,Endocrine
human3_lib2.final_cell_0533,alpha,Endocrine
human3_lib2.final_cell_0534,beta,Endocrine
human3_lib2.final_cell_0535,alpha,Endocrine
human3_lib2.final_cell_0536,alpha,Endocrine
human3_lib2.final_cell_0537,alpha,Endocrine
human3_lib2.final_cell_0538,ductal,Exocrine
human3_lib2.final_cell_0539,beta,Endocrine
human3_lib2.final_cell_0540,activated_stellate,PSC
human3_lib2.final_cell_0541,alpha,Endocrine
human3_lib2.final_cell_0542,alpha,Endocrine
human3_lib2.final_cell_0543,alpha,Endocrine
human3_lib2.final_cell_0544,endothelial,endothelial
human3_lib2.final_cell_0545,alpha,Endocrine
human3_lib2.final_cell_0546,beta,Endocrine
human3_lib2.final_cell_0547,acinar,Exocrine
human3_lib2.final_cell_0548,alpha,Endocrine
human3_lib2.final_cell_0549,ductal,Exocrine
human3_lib2.final_cell_0550,alpha,Endocrine
human3_lib2.final_cell_0551,alpha,Endocrine
human3_lib2.final_cell_0552,alpha,Endocrine
human3_lib2.final_cell_0553,beta,Endocrine
human3_lib2.final_cell_0554,alpha,Endocrine
human3_lib2.final_cell_0555,alpha,Endocrine
human3_lib2.final_cell_0556,alpha,Endocrine
human3_lib2.final_cell_0557,alpha,Endocrine
human3_lib2.final_cell_0558,quiescent_stellate,PSC
human3_lib2.final_cell_0559,alpha,Endocrine
human3_lib2.final_cell_0560,alpha,Endocrine
human3_lib2.final_cell_0561,alpha,Endocrine
human3_lib2.final_cell_0562,beta,Endocrine
human3_lib2.final_cell_0563,beta,Endocrine
human3_lib2.final_cell_0564,alpha,Endocrine
human3_lib2.final_cell_0565,alpha,Endocrine
human3_lib2.final_cell_0566,beta,Endocrine
human3_lib2.final_cell_0567,alpha,Endocrine
human3_lib2.final_cell_0568,alpha,Endocrine
human3_lib2.final_cell_0569,acinar,Exocrine
human3_lib2.final_cell_0570,ductal,Exocrine
human3_lib2.final_cell_0571,alpha,Endocrine
human3_lib2.final_cell_0572,alpha,Endocrine
human3_lib2.final_cell_0573,beta,Endocrine
human3_lib2.final_cell_0574,beta,Endocrine
human3_lib2.final_cell_0575,alpha,Endocrine
human3_lib2.final_cell_0576,acinar,Exocrine
human3_lib2.final_cell_0577,alpha,Endocrine
human3_lib2.final_cell_0578,alpha,Endocrine
human3_lib2.final_cell_0579,alpha,Endocrine
human3_lib2.final_cell_0580,macrophage,Immune
human3_lib2.final_cell_0581,beta,Endocrine
human3_lib2.final_cell_0582,beta,Endocrine
human3_lib2.final_cell_0583,alpha,Endocrine
human3_lib2.final_cell_0584,alpha,Endocrine
human3_lib2.final_cell_0585,ductal,Exocrine
human3_lib2.final_cell_0586,acinar,Exocrine
human3_lib2.final_cell_0587,alpha,Endocrine
human3_lib2.final_cell_0588,alpha,Endocrine
human3_lib2.final_cell_0589,alpha,Endocrine
human3_lib2.final_cell_0590,alpha,Endocrine
human3_lib2.final_cell_0591,alpha,Endocrine
human3_lib2.final_cell_0592,alpha,Endocrine
human3_lib2.final_cell_0593,activated_stellate,PSC
human3_lib2.final_cell_0594,beta,Endocrine
human3_lib2.final_cell_0595,alpha,Endocrine
human3_lib2.final_cell_0596,gamma,Endocrine
human3_lib2.final_cell_0597,alpha,Endocrine
human3_lib2.final_cell_0598,alpha,Endocrine
human3_lib2.final_cell_0599,ductal,Exocrine
human3_lib2.final_cell_0600,alpha,Endocrine
human3_lib2.final_cell_0601,alpha,Endocrine
human3_lib2.final_cell_0602,alpha,Endocrine
human3_lib2.final_cell_0603,alpha,Endocrine
human3_lib2.final_cell_0604,alpha,Endocrine
human3_lib2.final_cell_0605,quiescent_stellate,PSC
human3_lib2.final_cell_0606,ductal,Exocrine
human3_lib2.final_cell_0607,ductal,Exocrine
human3_lib2.final_cell_0608,acinar,Exocrine
human3_lib2.final_cell_0609,delta,Endocrine
human3_lib2.final_cell_0610,alpha,Endocrine
human3_lib2.final_cell_0611,ductal,Exocrine
human3_lib2.final_cell_0612,alpha,Endocrine
human3_lib2.final_cell_0613,alpha,Endocrine
human3_lib2.final_cell_0614,acinar,Exocrine
human3_lib2.final_cell_0615,delta,Endocrine
human3_lib2.final_cell_0616,acinar,Exocrine
human3_lib2.final_cell_0617,alpha,Endocrine
human3_lib2.final_cell_0618,alpha,Endocrine
human3_lib2.final_cell_0619,alpha,Endocrine
human3_lib2.final_cell_0620,acinar,Exocrine
human3_lib2.final_cell_0621,activated_stellate,PSC
human3_lib2.final_cell_0622,beta,Endocrine
human3_lib2.final_cell_0623,acinar,Exocrine
human3_lib2.final_cell_0624,beta,Endocrine
human3_lib2.final_cell_0625,alpha,Endocrine
human3_lib2.final_cell_0626,acinar,Exocrine
human3_lib2.final_cell_0627,beta,Endocrine
human3_lib2.final_cell_0628,alpha,Endocrine
human3_lib2.final_cell_0629,alpha,Endocrine
human3_lib2.final_cell_0630,ductal,Exocrine
human3_lib2.final_cell_0631,alpha,Endocrine
human3_lib2.final_cell_0632,ductal,Exocrine
human3_lib2.final_cell_0633,alpha,Endocrine
human3_lib2.final_cell_0634,alpha,Endocrine
human3_lib2.final_cell_0635,alpha,Endocrine
human3_lib2.final_cell_0636,acinar,Exocrine
human3_lib2.final_cell_0637,ductal,Exocrine
human3_lib2.final_cell_0638,acinar,Exocrine
human3_lib2.final_cell_0639,alpha,Endocrine
human3_lib2.final_cell_0640,delta,Endocrine
human3_lib2.final_cell_0641,alpha,Endocrine
human3_lib2.final_cell_0642,alpha,Endocrine
human3_lib2.final_cell_0643,acinar,Exocrine
human3_lib2.final_cell_0644,beta,Endocrine
human3_lib2.final_cell_0645,alpha,Endocrine
human3_lib2.final_cell_0646,acinar,Exocrine
human3_lib2.final_cell_0647,endothelial,endothelial
human3_lib2.final_cell_0648,beta,Endocrine
human3_lib2.final_cell_0649,alpha,Endocrine
human3_lib2.final_cell_0650,activated_stellate,PSC
human3_lib2.final_cell_0651,activated_stellate,PSC
human3_lib2.final_cell_0652,acinar,Exocrine
human3_lib2.final_cell_0653,alpha,Endocrine
human3_lib2.final_cell_0654,alpha,Endocrine
human3_lib2.final_cell_0655,alpha,Endocrine
human3_lib2.final_cell_0656,alpha,Endocrine
human3_lib2.final_cell_0657,ductal,Exocrine
human3_lib2.final_cell_0658,alpha,Endocrine
human3_lib2.final_cell_0659,endothelial,endothelial
human3_lib2.final_cell_0660,activated_stellate,PSC
human3_lib2.final_cell_0661,alpha,Endocrine
human3_lib2.final_cell_0662,alpha,Endocrine
human3_lib2.final_cell_0663,beta,Endocrine
human3_lib2.final_cell_0664,alpha,Endocrine
human3_lib2.final_cell_0665,beta,Endocrine
human3_lib2.final_cell_0666,alpha,Endocrine
human3_lib2.final_cell_0667,beta,Endocrine
human3_lib2.final_cell_0668,quiescent_stellate,PSC
human3_lib2.final_cell_0669,alpha,Endocrine
human3_lib2.final_cell_0670,ductal,Exocrine
human3_lib2.final_cell_0671,acinar,Exocrine
human3_lib2.final_cell_0672,beta,Endocrine
human3_lib2.final_cell_0673,mast,Immune
human3_lib2.final_cell_0674,acinar,Exocrine
human3_lib2.final_cell_0675,acinar,Exocrine
human3_lib2.final_cell_0676,beta,Endocrine
human3_lib2.final_cell_0677,beta,Endocrine
human3_lib2.final_cell_0678,beta,Endocrine
human3_lib2.final_cell_0679,alpha,Endocrine
human3_lib2.final_cell_0680,alpha,Endocrine
human3_lib2.final_cell_0681,activated_stellate,PSC
human3_lib2.final_cell_0682,alpha,Endocrine
human3_lib2.final_cell_0683,alpha,Endocrine
human3_lib2.final_cell_0684,acinar,Exocrine
human3_lib2.final_cell_0685,acinar,Exocrine
human3_lib2.final_cell_0686,ductal,Exocrine
human3_lib2.final_cell_0687,beta,Endocrine
human3_lib2.final_cell_0688,alpha,Endocrine
human3_lib2.final_cell_0689,acinar,Exocrine
human3_lib2.final_cell_0690,ductal,Exocrine
human3_lib2.final_cell_0691,beta,Endocrine
human3_lib2.final_cell_0692,alpha,Endocrine
human3_lib2.final_cell_0693,ductal,Exocrine
human3_lib2.final_cell_0694,alpha,Endocrine
human3_lib2.final_cell_0695,ductal,Exocrine
human3_lib2.final_cell_0696,alpha,Endocrine
human3_lib2.final_cell_0697,activated_stellate,PSC
human3_lib2.final_cell_0698,ductal,Exocrine
human3_lib2.final_cell_0699,beta,Endocrine
human3_lib2.final_cell_0700,alpha,Endocrine
human3_lib2.final_cell_0701,quiescent_stellate,PSC
human3_lib2.final_cell_0702,delta,Endocrine
human3_lib2.final_cell_0703,beta,Endocrine
human3_lib2.final_cell_0704,alpha,Endocrine
human3_lib2.final_cell_0705,ductal,Exocrine
human3_lib2.final_cell_0706,alpha,Endocrine
human3_lib2.final_cell_0707,alpha,Endocrine
human3_lib2.final_cell_0708,beta,Endocrine
human3_lib2.final_cell_0709,alpha,Endocrine
human3_lib2.final_cell_0710,acinar,Exocrine
human3_lib2.final_cell_0711,alpha,Endocrine
human3_lib2.final_cell_0712,quiescent_stellate,PSC
human3_lib2.final_cell_0713,ductal,Exocrine
human3_lib2.final_cell_0714,alpha,Endocrine
human3_lib2.final_cell_0715,ductal,Exocrine
human3_lib2.final_cell_0716,activated_stellate,PSC
human3_lib2.final_cell_0717,alpha,Endocrine
human3_lib2.final_cell_0718,beta,Endocrine
human3_lib2.final_cell_0719,alpha,Endocrine
human3_lib2.final_cell_0720,acinar,Exocrine
human3_lib2.final_cell_0721,acinar,Exocrine
human3_lib2.final_cell_0722,alpha,Endocrine
human3_lib2.final_cell_0723,alpha,Endocrine
human3_lib2.final_cell_0724,alpha,Endocrine
human3_lib2.final_cell_0725,ductal,Exocrine
human3_lib2.final_cell_0726,beta,Endocrine
human3_lib2.final_cell_0727,alpha,Endocrine
human3_lib2.final_cell_0728,acinar,Exocrine
human3_lib2.final_cell_0729,activated_stellate,PSC
human3_lib2.final_cell_0730,alpha,Endocrine
human3_lib2.final_cell_0731,beta,Endocrine
human3_lib2.final_cell_0732,alpha,Endocrine
human3_lib2.final_cell_0733,beta,Endocrine
human3_lib2.final_cell_0734,beta,Endocrine
human3_lib2.final_cell_0735,beta,Endocrine
human3_lib2.final_cell_0736,alpha,Endocrine
human3_lib2.final_cell_0737,macrophage,Immune
human3_lib2.final_cell_0738,ductal,Exocrine
human3_lib2.final_cell_0739,alpha,Endocrine
human3_lib2.final_cell_0740,beta,Endocrine
human3_lib2.final_cell_0741,alpha,Endocrine
human3_lib2.final_cell_0742,beta,Endocrine
human3_lib2.final_cell_0743,ductal,Exocrine
human3_lib2.final_cell_0744,alpha,Endocrine
human3_lib2.final_cell_0745,alpha,Endocrine
human3_lib2.final_cell_0746,alpha,Endocrine
human3_lib2.final_cell_0747,alpha,Endocrine
human3_lib2.final_cell_0748,alpha,Endocrine
human3_lib2.final_cell_0749,beta,Endocrine
human3_lib2.final_cell_0750,alpha,Endocrine
human3_lib2.final_cell_0751,beta,Endocrine
human3_lib2.final_cell_0752,ductal,Exocrine
human3_lib2.final_cell_0753,ductal,Exocrine
human3_lib2.final_cell_0754,ductal,Exocrine
human3_lib2.final_cell_0755,alpha,Endocrine
human3_lib2.final_cell_0756,ductal,Exocrine
human3_lib2.final_cell_0757,activated_stellate,PSC
human3_lib2.final_cell_0758,alpha,Endocrine
human3_lib2.final_cell_0759,beta,Endocrine
human3_lib2.final_cell_0760,activated_stellate,PSC
human3_lib2.final_cell_0761,alpha,Endocrine
human3_lib2.final_cell_0762,acinar,Exocrine
human3_lib2.final_cell_0763,acinar,Exocrine
human3_lib2.final_cell_0764,alpha,Endocrine
human3_lib2.final_cell_0765,delta,Endocrine
human3_lib2.final_cell_0766,endothelial,endothelial
human3_lib2.final_cell_0767,quiescent_stellate,PSC
human3_lib2.final_cell_0768,beta,Endocrine
human3_lib2.final_cell_0769,beta,Endocrine
human3_lib2.final_cell_0770,alpha,Endocrine
human3_lib2.final_cell_0771,activated_stellate,PSC
human3_lib2.final_cell_0772,alpha,Endocrine
human3_lib2.final_cell_0773,beta,Endocrine
human3_lib2.final_cell_0774,acinar,Exocrine
human3_lib2.final_cell_0775,alpha,Endocrine
human3_lib2.final_cell_0776,delta,Endocrine
human3_lib2.final_cell_0777,acinar,Exocrine
human3_lib2.final_cell_0778,quiescent_stellate,PSC
human3_lib2.final_cell_0779,beta,Endocrine
human3_lib2.final_cell_0780,alpha,Endocrine
human3_lib2.final_cell_0781,alpha,Endocrine
human3_lib2.final_cell_0782,ductal,Exocrine
human3_lib2.final_cell_0783,alpha,Endocrine
human3_lib2.final_cell_0784,alpha,Endocrine
human3_lib2.final_cell_0785,alpha,Endocrine
human3_lib2.final_cell_0786,alpha,Endocrine
human3_lib2.final_cell_0787,alpha,Endocrine
human3_lib2.final_cell_0788,gamma,Endocrine
human3_lib2.final_cell_0789,alpha,Endocrine
human3_lib2.final_cell_0790,beta,Endocrine
human3_lib2.final_cell_0791,beta,Endocrine
human3_lib2.final_cell_0792,delta,Endocrine
human3_lib2.final_cell_0793,alpha,Endocrine
human3_lib2.final_cell_0794,activated_stellate,PSC
human3_lib2.final_cell_0795,alpha,Endocrine
human3_lib2.final_cell_0796,quiescent_stellate,PSC
human3_lib2.final_cell_0797,beta,Endocrine
human3_lib2.final_cell_0798,mast,Immune
human3_lib2.final_cell_0799,alpha,Endocrine
human3_lib2.final_cell_0800,acinar,Exocrine
human3_lib2.final_cell_0801,alpha,Endocrine
human3_lib2.final_cell_0802,alpha,Endocrine
human3_lib2.final_cell_0803,endothelial,endothelial
human3_lib2.final_cell_0804,beta,Endocrine
human3_lib2.final_cell_0805,macrophage,Immune
human3_lib2.final_cell_0806,ductal,Exocrine
human3_lib2.final_cell_0807,beta,Endocrine
human3_lib2.final_cell_0808,beta,Endocrine
human3_lib2.final_cell_0809,beta,Endocrine
human3_lib2.final_cell_0810,alpha,Endocrine
human3_lib2.final_cell_0811,beta,Endocrine
human3_lib2.final_cell_0812,alpha,Endocrine
human3_lib2.final_cell_0813,mast,Immune
human3_lib2.final_cell_0814,alpha,Endocrine
human3_lib2.final_cell_0815,alpha,Endocrine
human3_lib2.final_cell_0816,beta,Endocrine
human3_lib2.final_cell_0817,endothelial,endothelial
human3_lib2.final_cell_0818,acinar,Exocrine
human3_lib2.final_cell_0819,endothelial,endothelial
human3_lib2.final_cell_0820,beta,Endocrine
human3_lib2.final_cell_0821,beta,Endocrine
human3_lib2.final_cell_0822,alpha,Endocrine
human3_lib2.final_cell_0823,quiescent_stellate,PSC
human3_lib2.final_cell_0824,ductal,Exocrine
human3_lib2.final_cell_0825,ductal,Exocrine
human3_lib2.final_cell_0826,beta,Endocrine
human3_lib2.final_cell_0827,beta,Endocrine
human3_lib2.final_cell_0828,alpha,Endocrine
human3_lib2.final_cell_0829,beta,Endocrine
human3_lib2.final_cell_0830,beta,Endocrine
human3_lib2.final_cell_0831,beta,Endocrine
human3_lib2.final_cell_0832,quiescent_stellate,PSC
human3_lib2.final_cell_0833,quiescent_stellate,PSC
human3_lib2.final_cell_0834,beta,Endocrine
human3_lib2.final_cell_0835,alpha,Endocrine
human3_lib2.final_cell_0836,delta,Endocrine
human3_lib2.final_cell_0837,alpha,Endocrine
human3_lib2.final_cell_0838,ductal,Exocrine
human3_lib2.final_cell_0839,acinar,Exocrine
human3_lib2.final_cell_0840,alpha,Endocrine
human3_lib2.final_cell_0841,alpha,Endocrine
human3_lib2.final_cell_0842,alpha,Endocrine
human3_lib2.final_cell_0843,quiescent_stellate,PSC
human3_lib2.final_cell_0844,alpha,Endocrine
human3_lib2.final_cell_0845,beta,Endocrine
human3_lib2.final_cell_0846,endothelial,endothelial
human3_lib2.final_cell_0847,activated_stellate,PSC
human3_lib2.final_cell_0848,alpha,Endocrine
human3_lib2.final_cell_0849,alpha,Endocrine
human3_lib2.final_cell_0850,beta,Endocrine
human3_lib2.final_cell_0851,alpha,Endocrine
human3_lib2.final_cell_0852,beta,Endocrine
human3_lib2.final_cell_0853,beta,Endocrine
human3_lib2.final_cell_0854,alpha,Endocrine
human3_lib2.final_cell_0855,ductal,Exocrine
human3_lib2.final_cell_0856,endothelial,endothelial
human3_lib2.final_cell_0857,endothelial,endothelial
human3_lib2.final_cell_0858,endothelial,endothelial
human3_lib2.final_cell_0859,beta,Endocrine
human3_lib2.final_cell_0860,beta,Endocrine
human3_lib2.final_cell_0861,quiescent_stellate,PSC
human3_lib2.final_cell_0862,beta,Endocrine
human3_lib2.final_cell_0863,beta,Endocrine
human3_lib2.final_cell_0864,beta,Endocrine
human3_lib2.final_cell_0865,beta,Endocrine
human3_lib2.final_cell_0866,ductal,Exocrine
human3_lib2.final_cell_0867,beta,Endocrine
human3_lib2.final_cell_0868,ductal,Exocrine
human3_lib2.final_cell_0869,endothelial,endothelial
human3_lib2.final_cell_0870,endothelial,endothelial
human3_lib2.final_cell_0871,alpha,Endocrine
human3_lib2.final_cell_0872,beta,Endocrine
human3_lib2.final_cell_0873,activated_stellate,PSC
human3_lib2.final_cell_0874,beta,Endocrine
human3_lib2.final_cell_0875,alpha,Endocrine
human3_lib3.final_cell_0001,acinar,Exocrine
human3_lib3.final_cell_0002,acinar,Exocrine
human3_lib3.final_cell_0003,acinar,Exocrine
human3_lib3.final_cell_0004,acinar,Exocrine
human3_lib3.final_cell_0005,acinar,Exocrine
human3_lib3.final_cell_0006,acinar,Exocrine
human3_lib3.final_cell_0007,acinar,Exocrine
human3_lib3.final_cell_0008,acinar,Exocrine
human3_lib3.final_cell_0009,acinar,Exocrine
human3_lib3.final_cell_0010,acinar,Exocrine
human3_lib3.final_cell_0011,acinar,Exocrine
human3_lib3.final_cell_0012,acinar,Exocrine
human3_lib3.final_cell_0013,acinar,Exocrine
human3_lib3.final_cell_0014,acinar,Exocrine
human3_lib3.final_cell_0015,acinar,Exocrine
human3_lib3.final_cell_0016,acinar,Exocrine
human3_lib3.final_cell_0017,acinar,Exocrine
human3_lib3.final_cell_0018,acinar,Exocrine
human3_lib3.final_cell_0019,acinar,Exocrine
human3_lib3.final_cell_0020,acinar,Exocrine
human3_lib3.final_cell_0021,acinar,Exocrine
human3_lib3.final_cell_0022,acinar,Exocrine
human3_lib3.final_cell_0023,acinar,Exocrine
human3_lib3.final_cell_0024,acinar,Exocrine
human3_lib3.final_cell_0025,acinar,Exocrine
human3_lib3.final_cell_0026,acinar,Exocrine
human3_lib3.final_cell_0027,acinar,Exocrine
human3_lib3.final_cell_0028,acinar,Exocrine
human3_lib3.final_cell_0029,acinar,Exocrine
human3_lib3.final_cell_0030,acinar,Exocrine
human3_lib3.final_cell_0031,acinar,Exocrine
human3_lib3.final_cell_0032,alpha,Endocrine
human3_lib3.final_cell_0033,acinar,Exocrine
human3_lib3.final_cell_0034,delta,Endocrine
human3_lib3.final_cell_0035,acinar,Exocrine
human3_lib3.final_cell_0036,acinar,Exocrine
human3_lib3.final_cell_0037,acinar,Exocrine
human3_lib3.final_cell_0038,acinar,Exocrine
human3_lib3.final_cell_0039,acinar,Exocrine
human3_lib3.final_cell_0040,acinar,Exocrine
human3_lib3.final_cell_0041,acinar,Exocrine
human3_lib3.final_cell_0042,acinar,Exocrine
human3_lib3.final_cell_0043,acinar,Exocrine
human3_lib3.final_cell_0044,acinar,Exocrine
human3_lib3.final_cell_0045,acinar,Exocrine
human3_lib3.final_cell_0046,acinar,Exocrine
human3_lib3.final_cell_0047,acinar,Exocrine
human3_lib3.final_cell_0048,acinar,Exocrine
human3_lib3.final_cell_0049,acinar,Exocrine
human3_lib3.final_cell_0050,acinar,Exocrine
human3_lib3.final_cell_0051,acinar,Exocrine
human3_lib3.final_cell_0052,beta,Endocrine
human3_lib3.final_cell_0053,acinar,Exocrine
human3_lib3.final_cell_0054,beta,Endocrine
human3_lib3.final_cell_0055,acinar,Exocrine
human3_lib3.final_cell_0056,acinar,Exocrine
human3_lib3.final_cell_0057,acinar,Exocrine
human3_lib3.final_cell_0058,acinar,Exocrine
human3_lib3.final_cell_0059,acinar,Exocrine
human3_lib3.final_cell_0060,acinar,Exocrine
human3_lib3.final_cell_0061,acinar,Exocrine
human3_lib3.final_cell_0062,acinar,Exocrine
human3_lib3.final_cell_0063,acinar,Exocrine
human3_lib3.final_cell_0064,acinar,Exocrine
human3_lib3.final_cell_0065,acinar,Exocrine
human3_lib3.final_cell_0066,acinar,Exocrine
